Customer_ID,YearMonth,count,sum
NET0013,2027-03,2,3950.62266773035
NET0028,2026-03,2,1052.2482467058467
NET0083,2027-10,2,5138.1940739671445
NET0098,2027-08,2,4660.713292761447
NET0107,2027-07,2,1894.0026974381012
NET0116,2027-08,2,4465.438116671245
NET0122,2025-10,2,4311.281386994614
NET0127,2025-09,2,7616.548979294213
NET0140,2027-05,2,3926.9465789484584
NET0155,2026-11,2,4951.976148238256
NET0197,2027-08,2,2831.1121616209607
NET0247,2027-03,2,4251.4077953158785
NET0281,2027-10,2,7911.69259925803
NET0285,2026-08,2,7633.7048203345485
NET0291,2027-09,2,3864.7354763402377
NET0366,2026-08,2,6319.353480052408
NET0401,2026-11,2,4245.790657885102
NET0494,2025-05,2,8445.059417149909
NET0503,2026-07,2,6124.87415570808
NET0516,2026-12,2,6941.58555047713
NET0559,2027-11,2,3728.606792358536
NET0730,2027-01,2,9284.055324805948
NET0733,2025-06,2,9488.459278332399
NET0794,2026-09,2,2977.3211053679015
NET0844,2027-04,2,8414.306472730525
NET0848,2025-12,2,9970.654930601791
NET0896,2026-01,2,2361.382715412023
NET0944,2026-04,2,5287.957179667908
NET0978,2025-07,2,9432.750622214406
